Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3xJKKtdHv5KcYaAbwOeuXY,"Do Not Look Down","Koloss","Meshuggah",2012-02-09,283800,46,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.468,0.981,1,-3.496,1,0.104,0.0000384,0.024,0.207,0.209,159.966,4
spotify:track:6CAiU34aO165mw1380gn8W,"Behind the Sun","Koloss","Meshuggah",2012-02-09,374160,37,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.173,0.93,5,-3.958,0,0.0913,0.00000408,0.487,0.0575,0.125,95.02,4
spotify:track:5kCrraqxb5ZyEh7aQqRnwD,"The Hurt That Finds You First","Koloss","Meshuggah",2012-02-09,333800,37,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.435,0.995,3,-4.748,0,0.104,0.0000134,0.729,0.0931,0.0707,124.987,4
spotify:track:5Cy1WKd8Kq9ov03bPHzI9e,"Marrow","Koloss","Meshuggah",2012-02-09,335066,41,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.47,0.978,0,-4.458,1,0.0809,0.00000726,0.703,0.131,0.487,149.998,3
spotify:track:2Od0KYNvyuJF56fDFdcvfw,"Break Those Bones Whose Sinews Gave It Motion","Koloss","Meshuggah",2012-02-09,415306,43,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.516,0.96,6,-4.218,1,0.0524,0.0000145,0.0432,0.281,0.266,136.996,4
spotify:track:0n2BeGs5XQcLsLsz9IKZQN,"Swarm","Koloss","Meshuggah",2012-02-09,326400,39,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.177,0.982,1,-5.282,1,0.161,0.0000047,0.908,0.62,0.242,180.077,4
spotify:track:0uzioJOXr8vqADpxTFY9Hg,"Demiurge","Koloss","Meshuggah",2012-02-09,372866,53,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.207,0.945,1,-5.277,1,0.0787,0.0000326,0.79,0.0947,0.0399,113.254,3
spotify:track:0sn2PZ1bqXBEx7cgvk0Jnt,"The Last Vigil","Koloss","Meshuggah",2012-02-09,272560,32,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:06Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.475,0.12,8,-16.968,1,0.0298,0.556,0.863,0.106,0.0235,99.988,4
spotify:track:1YDOqPYzVeAvQzyf048mSu,"Paralyzing Ignorance","Contradictions Collapse (Reloaded)","Meshuggah",2008-09-05,267160,23,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:17Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.381,0.985,0,-4.684,1,0.145,0.00268,0.147,0.0869,0.383,124.738,4
spotify:track:2DUO3UVdHQdZKogNX48Nt6,"Erroneous Manipulation","Contradictions Collapse (Reloaded)","Meshuggah",2008-09-05,379920,22,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:17Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.308,0.967,4,-5.135,1,0.0509,0.000252,0.0525,0.0727,0.417,143.349,4
spotify:track:0TZSzKSqZ8UzcyRzOq80tU,"Abnegating Cecity","Contradictions Collapse (Reloaded)","Meshuggah",2008-09-05,387880,21,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:17Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.347,0.941,6,-5.354,1,0.116,0.00912,0.0105,0.169,0.653,174.445,3
spotify:track:5EJ2sGc60En9dhVROJzppw,"Internal Evidence","Contradictions Collapse (Reloaded)","Meshuggah",2008-09-05,445893,19,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:17Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.357,0.936,11,-6.151,1,0.0641,0.000964,0.13,0.443,0.684,120.355,4
spotify:track:5jEf0de7PtxEUYPYqi4Mzo,"Qualms of Reality","Contradictions Collapse (Reloaded)","Meshuggah",2008-09-05,422360,20,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:17Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.406,0.956,4,-5.769,1,0.0814,0.0234,0.0119,0.087,0.343,121.229,4
spotify:track:31yUo7gHPdCDe0q4eIlg2m,"We'll Never See the Day","Contradictions Collapse (Reloaded)","Meshuggah",2008-09-05,362360,19,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:45:17Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.363,0.988,11,-5.257,1,0.0757,0.00409,0.032,0.0472,0.424,135.88,4
