TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
180.047528345,-188.315,8.56306,-14.7799,12.5973,4.83254,8.7461,3.09047,6.38851,1.82703,5.33531,-2.83834,0.754398,-3.02103,1.40923,-4.64454,2.32718,-1.48597,0.193989,-4.88249,1.12329,-4.08084
180.070748299,-203.596,12.1623,-18.6177,3.91606,3.20631,6.91189,-2.72842,8.19895,2.44657,3.36898,-0.792081,3.16386,-1.48761,3.29626,0.0767265,2.89902,-1.23528,2.17401,-0.111971,1.12485,-1.60335
180.093968254,-209.866,15.0362,-13.135,9.70287,6.90205,8.16065,1.03508,8.41625,-1.01063,2.58347,-2.50236,0.115616,-2.79121,2.43067,-2.61709,3.37184,-0.78259,1.40659,-1.29041,1.39516,-0.316194
180.117188209,-214.523,20.2429,-15.8068,7.1436,5.08154,7.36349,-2.03752,7.38408,0.935638,5.99457,-2.53769,1.54487,-3.72444,2.34996,-3.91244,1.54605,-2.67509,1.59978,-3.38962,-1.39741,-3.82657
180.140408163,-225.358,22.2638,-22.6754,9.29834,2.29445,11.9176,-0.586304,11.1874,2.40648,7.08146,-3.5077,1.68491,-3.09744,3.85437,-3.53817,4.2084,-6.25785,-0.934002,-4.39113,0.499973,-3.46041
180.163628118,-220.179,23.5528,-19.1338,6.37937,4.05021,9.5894,2.99114,8.9091,1.31372,6.6541,-0.101016,2.49213,-2.10533,-1.33114,-3.02398,1.49861,-6.48606,-1.64401,-3.32944,-1.47351,-3.61289
180.186848073,-188.405,9.94561,-16.8582,10.3974,3.05362,6.45576,1.85942,7.97442,2.54704,6.63238,-1.75825,0.537498,-2.74339,0.863413,-2.99294,2.71443,-1.63217,1.90314,-3.08634,-0.0611262,0.280247
180.210068027,-207.766,18.1729,-13.6932,5.99099,4.60957,5.1857,-1.49613,7.8972,1.01474,5.25167,-1.8646,0.748378,-4.22006,0.694081,-4.05887,1.01789,-3.24525,0.0827077,-1.82312,-0.734131,-5.29153
180.233287982,-215.103,20.7968,-15.5887,9.37301,9.17266,6.16005,-0.43755,7.77058,2.40309,5.438,-3.39254,2.04088,-4.62647,1.16483,-1.90297,2.3857,-3.51314,-0.954023,-1.69533,-0.405106,-4.15701
180.256507937,-226.604,28.275,-17.1626,8.76475,5.73615,8.3956,0.288278,11.265,0.141039,7.30278,-3.4016,2.01011,-4.26995,1.99939,-4.57496,2.64734,-2.9912,-0.167506,-4.32646,-1.87422,-6.59008
180.279727891,-238.352,30.3707,-19.2276,9.81258,4.99723,10.5057,-1.06111,10.0908,-0.850102,6.77192,-7.84567,1.87152,-5.67029,2.01098,-3.75742,5.66671,-4.29563,0.48628,-5.19406,0.794504,-6.33937
180.302947846,-207.884,8.69024,-19.7199,17.9113,-5.86008,17.6317,-8.9848,11.7489,-6.69934,13.0083,-5.65667,4.14368,-6.40621,6.32652,-5.0573,6.04402,-2.90135,-0.068905,-1.45998,3.47695,-2.53378
180.326167800,-211.292,24.7494,-29.3258,15.4312,-4.06256,12.3494,-5.53888,16.9905,0.421126,11.083,-3.60107,4.30052,-2.84173,5.67892,-0.195446,6.35075,-3.9802,2.39752,-1.83415,1.59015,-3.22832
180.349387755,-220.713,29.2786,-27.8461,15.0864,0.391346,12.228,-5.52804,12.3233,0.319566,10.8218,0.0163959,5.59263,-2.30163,2.91251,-4.35731,5.50651,-2.45224,3.47413,-2.83804,-0.867584,-6.78448
180.372607710,-224.059,31.714,-25.5053,15.4875,-3.62725,10.3897,-5.66608,10.1977,-2.4515,6.99572,-5.44683,1.98976,-3.14716,4.48714,-2.46059,6.21875,-2.1651,2.20303,-1.88532,-0.187951,-3.20581
180.395827664,-230.953,35.2407,-27.2004,15.2131,1.27757,11.8413,-4.031,10.0496,-1.7644,5.89498,-4.66972,2.4673,-4.31453,4.4627,-1.49386,5.06606,-6.02243,0.146455,-1.8476,1.25363,-3.24797
180.419047619,-229.855,28.4913,-20.817,11.3661,4.53235,11.4978,-1.49722,8.62208,-0.398408,6.1999,-3.01946,0.802327,-4.36,3.14951,-1.99558,1.89933,-4.30459,1.63972,-1.63366,0.63605,-2.27749
180.442267574,-177.113,-2.61936,-14.2163,3.77748,2.18789,3.60396,-0.241418,6.21777,1.99811,7.51606,-1.02875,1.45276,-1.68112,1.05029,-2.50714,1.74373,-1.86175,-0.538436,-3.56449,-1.60089,-5.21534
180.465487528,-185.113,-2.07609,-4.50781,1.71631,7.31545,9.15263,1.64321,11.1314,4.87474,7.50101,-3.42339,1.09284,-3.16411,2.08489,-0.294365,1.32117,-0.502178,2.60846,-1.24874,2.74099,-1.00184
180.488707483,-188.494,1.38504,-6.20745,-1.21098,4.24038,7.72929,-0.182609,10.256,-0.0565574,4.39472,-7.56195,-2.84145,-5.64343,1.08933,-0.661617,4.88413,-3.82818,1.46488,-0.871802,0.969366,-4.40952
180.511927438,-198.202,3.76021,-4.53364,-0.0806085,6.12955,6.21272,-1.25868,8.2196,-1.00924,5.22981,-5.77493,-3.52157,-6.32552,-0.429013,-1.12002,3.73847,-0.83115,1.64671,-2.17369,1.57606,-0.833094
180.535147392,-203.364,6.4453,-2.8127,0.379044,8.36905,8.35003,-0.139487,6.6914,-0.304582,3.45954,-3.51122,-2.30799,-6.0759,1.17794,-1.76259,1.11851,-1.85018,-0.8535,-1.79189,2.39448,-2.63293
180.558367347,-205.551,10.9558,-3.6975,6.69228,8.7541,9.33773,-0.371483,6.90765,-2.27504,5.18044,-3.07688,-0.638879,-3.70392,1.2202,-2.05496,3.06088,-1.86824,-0.399728,-1.44092,0.241596,-3.30006
180.581587302,-200.062,9.03993,-19.4057,6.95459,4.7877,7.69396,-0.479164,5.98163,0.855851,7.32991,-0.260005,1.92251,-2.91151,0.58956,-3.88195,1.65969,-2.09976,2.37216,-2.663,0.823845,-4.39927
180.604807256,-213.263,16.6988,-19.1599,4.82836,6.07539,7.20701,-0.527933,5.95308,1.92627,7.07129,-0.285384,5.06851,-2.03284,3.40507,-3.02383,1.83424,-1.67969,0.571491,-1.36618,1.32841,-0.946065
180.628027211,-215.498,19.1246,-19.2722,6.3141,4.46359,5.37104,-1.96849,7.53829,-2.8722,4.27576,-4.01771,0.938711,-2.54669,0.930964,-3.5802,2.36278,-3.53284,-0.0852175,-2.27271,1.29259,-4.21219
180.651247166,-226.988,24.0991,-19.3068,6.93567,6.3242,6.13474,-2.10185,6.35255,-1.88515,4.82769,-2.15901,-0.899978,-4.33704,0.343605,-1.20001,3.27862,-3.22216,-0.208494,-1.47824,-0.336403,-2.69678
180.674467120,-233.668,29.2475,-15.4942,7.27319,5.43001,5.53208,-1.16652,7.46814,0.15519,6.8262,-1.63462,1.92044,-3.86574,2.22023,-1.22502,5.34341,-0.99011,3.01086,-1.38087,0.683981,-2.1904
180.697687075,-189.526,8.94578,-19.209,14.0905,-2.21124,13.3798,-3.53899,8.3777,-5.5625,6.27617,-4.67542,1.18098,-2.43085,3.04676,-4.3774,2.63531,-2.42801,-2.27373,-0.472353,1.49936,-1.16106
180.720907029,-201.382,10.2507,-15.4164,4.80192,5.87225,3.78758,1.22607,9.12632,1.55882,5.34675,-1.73987,1.64861,-1.51628,3.73096,0.932232,2.93422,0.364694,2.90128,0.428899,0.739398,-1.28629
180.744126984,-207.051,13.9348,-14.9443,2.01469,8.66025,2.95877,-1.41272,5.33455,-0.716915,2.60187,-1.96219,1.40045,-1.6484,3.31195,-0.233571,3.26861,-1.98193,1.13122,0.0979246,0.293203,-2.05344
180.767346939,-211.65,19.6809,-11.9979,6.60789,9.91208,5.75384,-1.23464,7.60635,0.516177,4.766,-4.79008,-0.846081,-2.24107,2.27429,-2.36417,2.65003,-1.99803,0.299009,-0.460572,0.728671,-4.58926
180.790566893,-218.017,26.9992,-12.6791,5.61782,11.0115,6.0341,-1.54333,5.00767,-2.84853,3.84574,-3.4829,0.0547353,-4.80918,0.464438,-2.99485,1.61144,-2.46338,-1.56276,-2.33879,1.42237,-3.1565
180.813786848,-224.302,31.1615,-17.5056,9.17646,8.50432,10.5066,-0.215453,8.67665,0.826318,5.74478,-4.68588,0.221687,-6.51448,-0.514921,-4.81907,0.973355,-5.75107,-0.329345,-3.74873,-1.22481,-3.92216
180.837006803,-199.209,17.8925,-29.9951,17.7651,-5.53373,15.6187,-3.08001,14.6436,-0.155918,14.2492,-1.93839,7.36207,-1.91265,5.48823,-1.83978,4.81819,-1.67363,2.16164,-3.43914,1.05384,-2.1518
180.860226757,-223.201,30.4055,-29.1816,15.0269,-3.71201,11.5223,-6.00592,13.7632,-0.624761,9.53128,-4.35769,5.41343,-3.56022,4.00099,-5.35233,3.58125,-4.01233,1.87079,-0.0314315,1.23452,-0.265822
180.883446712,-219.454,27.53,-22.6796,13.8532,-2.9406,12.7853,-6.35817,11.119,-2.08596,9.01248,-3.076,3.75264,-6.34069,3.80179,-4.097,4.93534,-2.9756,4.09843,-0.864203,4.77447,-4.37227
