TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
100.681723356,1.23604,0,0.227784,1.31895,0.32844,0.377646,1.4078,0,0.194901,0.404004,1.50346,0.633784
100.728163265,1.39373,0,0.142038,0.90457,0.460611,0.254582,1.37262,0.139863,0.459714,0.20564,1.47219,0.253976
100.774603175,1.34049,0.5381,0.112325,0.569405,0.289551,0.26484,1.25449,0.397452,0.311616,0.163165,1.54442,0.205997
100.821043084,1.18888,0.856844,0.153617,0.445303,0.074073,0.450181,1.16098,0.396484,0.211667,0.182194,1.33191,0.396752
100.867482993,0.809698,1.08142,0.135548,0.323737,0.0592631,0.564328,1.42381,0.318303,0.277193,0.116138,1.37897,0.460819
100.913922902,0.859994,0.960126,0.0184964,0.37646,0.379062,0.505239,1.88469,0.167877,0.104591,0.0959596,1.21128,0.496872
100.960362812,0.989729,0.639729,0,0.527114,0.865903,0.152047,1.94187,0.0525208,0.0790776,0.51782,1.36014,0.080177
101.006802721,0.729896,0.378986,0.0299238,0.68227,1.00358,0.0274991,1.74498,0.0721711,0.0870998,0.686987,1.78715,0.0615523
101.053242630,0.530282,0.376588,0.336845,0.775902,1.45042,0.00400629,1.61629,0.0593448,0.0274228,0.290934,1.9205,0.119842
101.099682540,0.394732,0.354678,0.780217,0.991808,1.51455,0.0212728,1.99597,0.0405256,0.130079,0.0660734,1.85304,0.0342254
101.146122449,0.246197,0.628985,0.709371,0.879151,1.40378,0.177757,1.33037,0.402244,0.226971,0.0839226,1.74757,0.521522
101.192562358,0.130471,0.748162,0.598956,0.722985,1.1002,0.659623,1.09993,0.733036,0.253381,0.10462,1.20962,0.519912
101.239002268,0.0910229,0.696244,0.367179,0.660834,0.965085,0.516223,1.70332,0.861709,0.223803,0.123784,1.04527,0.442039
101.285442177,0.227041,1.07475,0.0978483,0.510014,0.454842,0.423677,1.79661,0.729673,0.145193,0.20833,0.775999,0.561968
101.331882086,0.467723,1.49752,0.507109,0.296297,0.451715,0.732215,1.22611,0.19088,0.4837,0.0970932,0.544009,0.847927
101.378321995,0.62815,1.24872,0.528484,0.12648,0.518595,0.922252,0.82466,0.0538633,0.736155,0.257203,0.65174,1.07579
101.424761905,0.688557,1.16042,0.509995,0.0209421,0.612095,0.868554,0.585282,0.0328839,0.70679,0.118838,0.788311,1.23127
101.471201814,0.836329,1.29384,0.196215,0.0953047,0.704037,0.56358,1.0399,0.147028,0.68019,0.0672875,0.753827,1.45807
101.517641723,0.900167,1.5228,0.0679039,0.212708,0.717071,0.375622,1.57426,0.282844,0.953874,0.0370437,1.14928,1.10173
101.564081633,0.616829,1.41884,0.0313351,0.569118,0.470522,0.183206,1.5018,0.261394,0.556335,0.0797103,1.05975,0.948411
101.610521542,0.132306,1.48568,0.10675,0.85929,0.388831,0.161756,0.754059,0.335629,0.483586,0.0732777,0.897096,0.959771
101.656961451,0.00811155,0.644769,0.380681,0.949858,0.0215898,0.315538,1.4087,0.449216,0.527218,0.241565,1.36132,0.88012
101.703401361,0.0682922,0.368646,0.185096,0.844551,0,0.088483,1.82326,0.864174,0.493454,0.266767,1.5403,0.552665
101.749841270,0.107181,0.711479,0,0.522555,0.160576,0.219429,1.73495,1.03453,0.238099,0.141703,1.25415,0.932339
101.796281179,0.201737,0.658501,0,0.219264,0.0758834,0.213513,1.67985,1.16165,0.240906,0.106402,1.19224,1.28882
101.842721088,0.822549,0.537192,0.277168,0.397134,0.0143952,0.348834,1.69792,0.946181,0.109946,0.0809773,1.0336,0.791724
101.889160998,0.897766,0.472061,0.532279,0.66058,0.063141,0.373299,1.54396,0.701244,0.13139,0.0138523,0.348881,0.241568
101.935600907,0.804052,0.576791,0.71606,0.767636,0.559606,0.632197,1.31651,0.683841,0.245461,0.00320084,0.566579,0.259512
101.982040816,0.738202,0.23114,1.14113,0.89387,0.82591,0.848774,1.07375,0.461254,0.387272,0,1.1911,0.218127
102.028480726,0.395732,0.284955,1.27516,0.822788,1.03659,1.23184,0.335992,0.148152,0.591998,0.0421302,1.66342,0.208326
102.074920635,0.273376,0.011865,1.23375,0.522629,0.935406,1.40171,0.360993,0.00696459,1.04619,0.29786,2.51373,0.247303
102.121360544,0.180274,0.182379,1.60865,0.433396,0.532698,1.39463,0.307261,0.0231203,0.910975,0.170128,2.98021,0.397755
102.167800454,0.00472511,0.278893,1.71069,0.975734,0.0673484,1.69401,0.232247,0.207025,0.747716,0.210378,2.7155,0.693484
102.214240363,0.0936119,0.0859189,1.70454,1.12121,0,1.86254,0.435339,0.236289,0.708125,0.198959,2.09857,0.901541
102.260680272,0.178957,0,1.65943,1.22037,0,1.71997,0.639386,0.199314,0.742568,0.125953,2.19235,0.887961
102.307120181,0.465847,0,1.59614,1.13115,0.00387044,1.45862,0.539383,0.164524,0.55458,0.0865909,2.55007,0.493729
102.353560091,0.994017,0.000434743,1.46942,0.649433,0.0442978,1.39506,0.377405,0.224489,0.360927,0.09689,2.98538,0.312773
102.400000000,0.899582,0.0107915,1.41275,0.455344,0.056159,1.74478,0.270017,0.312884,0.367238,0.1659,2.66168,0.521746
102.446439909,0.438939,0.50215,1.1238,0.246515,0.0548094,2.02794,0.214955,0.301909,0.375811,0.122929,2.02603,0.883216
102.492879819,0.441136,0.82693,0.343504,0.245282,0.0189044,1.88092,0.433695,0.153595,0.132171,0.116342,1.59135,1.2113
102.539319728,0.721794,1.28555,0.119361,0.213495,0.0328906,1.17949,0.527208,0.0756418,0.1456,0.268425,1.52261,1.23963
102.585759637,0.887528,0.853803,0.0476057,0.712776,0.629181,0.0858044,1.22888,0.17623,0.123938,0.141379,1.74271,1.37045
102.632199546,1.14121,0.611266,6.84869e-05,0.809266,0.726312,0.00217659,1.59427,0.191542,0.0698833,0.22605,1.63338,1.27275
102.678639456,1.12666,0.219117,0,0.929002,0.568008,0.25999,1.75786,0.0678254,0.0815757,0.354629,1.17333,0.888348
102.725079365,1.13165,0.0314018,0.0505031,1.02353,0.481555,0.241262,1.87225,0.0592753,0.0167313,0.838227,1.07162,0.88536
102.771519274,0.888284,0.436057,0.0722393,0.633863,0.487144,0.0764622,1.50651,0.0894847,0.0399682,1.12887,1.43458,1.57768
102.817959184,0.32512,0.566886,0.180818,0.615228,0.86554,0.567127,0.704001,0.547978,0.276992,0.340183,1.07414,1.84484
102.864399093,0.18375,0.461368,0.339165,0.659676,0.603082,0.627498,0.385429,1.06161,0.647536,0.828229,0.767703,1.45936
102.910839002,0.0443094,0.442587,0.507734,0.896763,0.998793,0.596067,0,1.11514,0.59241,1.03112,0.669729,0.801976
102.957278912,0.110266,0.303148,0.488007,1.07095,1.60445,0.503164,0.0177343,0.987945,0.488382,1.047,0.457509,0.763661
103.003718821,0.186792,0.535143,0.417055,0.764464,1.9194,0.0225747,0.0872661,1.01962,0.241181,1.23345,0.717508,0.641361
103.050158730,0.138337,0.870539,0.133948,0.422607,1.86219,0.0285391,0.131342,0.82438,0.0623518,1.53304,0.826105,0.546536
103.096598639,0.164139,0.980613,0,0.792808,1.03665,0.416076,0.205374,0.325193,0.109212,1.57108,0.975478,0.53435
103.143038549,0.266602,1.27777,0.121629,1.2133,0.441496,0.51179,0.290085,0.408599,0.257303,1.7707,0.595464,0.795035
103.189478458,0.305801,1.43737,0.116296,1.01021,0.758979,0.0844226,0.0569172,0.896148,0.17125,1.97117,0.0743847,1.3811
103.235918367,0.779654,1.54685,0,0.385815,1.06517,0.0981062,0.0660185,1.04052,0.056237,2.09823,0.0266822,1.23382
103.282358277,0.691613,1.85659,0.0669279,0.184807,1.18149,0.0733932,0.0409976,1.17886,0.0690379,2.20219,0.00709956,0.755726
103.328798186,0.500598,1.70264,0.041922,0.213161,0.9031,0.170665,0.459321,0.848455,0.0959141,2.04232,0.000178479,0.481473
103.375238095,0.695068,1.45942,0.0682645,0.551923,1.05324,0.302303,0.793301,0.531211,0.13014,1.63509,0.0033586,0.757479
103.421678005,0.457039,1.15691,0.172517,0.604409,1.33933,0.458786,0.71192,0.387755,0.398529,0.771204,0.0989117,1.11858
103.468117914,0.045835,1.12986,0.052019,0.661184,1.56019,0.362854,0.824371,0.655579,0.564715,0.0565391,0.724424,0.672315
103.514557823,0.0376884,0.846894,0.0115169,0.429186,1.38909,0.189198,1.55691,0.166014,0.414715,0.07668,1.10515,0.229267
103.560997732,0.21976,0.914145,0.0394133,0.211248,1.71778,0.0272352,1.676,0.12966,0.117217,0.283797,1.10478,0.000288328
103.607437642,0.265818,0.895927,0.311975,0.277513,1.45583,0.0641949,1.30253,0.119514,0.0676522,0.524444,1.31265,0.679511
103.653877551,0.167846,0.694562,0.504048,0.227591,1.18024,0.0610336,1.439,0.107267,0.560268,0.511169,1.93697,0.944883
103.700317460,0.282627,0.604965,0.680935,0,1.02317,0.0624659,1.6601,0.347497,0.808638,0.12161,1.94814,0.436558
103.746757370,0.657085,1.03636,0.773765,0.480793,0.420788,0.0551355,1.42698,0.573927,0.868056,0.12591,1.48894,0.556084
103.793197279,0.558129,0.771789,0.566544,0.800208,0.626803,0.0210713,1.47362,0.757492,0.660563,0.169689,0.649403,0.655103
103.839637188,0.230963,1.24389,0.277647,0.737915,0.814848,0.00108248,1.44351,0.89836,0.205189,0.152552,0.585171,0.370104
103.886077098,0.191233,1.50107,0.257238,0.898307,0.486158,0,1.78478,0.598257,0.0247977,0.532121,0.670817,0.144007
103.932517007,0.117016,2.22651,0.265357,0.973256,0.150033,0,1.57771,0.227871,0.0342332,0.501799,0.871794,0.180929
103.978956916,0.45394,1.68411,0.230858,1.25938,0.034143,0.0262042,1.6649,0.109693,0.0427343,0.293556,0.745185,0.812975
104.025396825,1.14007,0.54699,0.356601,1.23679,0.0252869,0.258278,2.0626,0.0833267,0.0474532,0.176378,0.756414,0.942498
104.071836735,1.15983,0,0.402777,1.04414,0.0453647,0.277185,2.32529,0.22683,0.0129454,0.118525,1.14064,0.941662
104.118276644,0.345743,0.593701,0.230608,0.542615,0.313321,0.261833,2.03459,0.283915,0.0442677,0.0512988,1.60124,1.16739
104.164716553,0.0971961,0.808432,0.0660512,0.84651,0.191965,0.433545,1.3661,1.23732,0.136478,0.0428382,1.39123,1.43057
104.211156463,0.0697067,0.769873,0.676251,1.17151,0.0589906,0.470513,0.293987,1.99807,0.126447,0,1.03422,1.57079
104.257596372,0.118946,0.626821,0.702273,1.57471,0.0395001,0.316319,0.0153968,2.55286,0.11361,0,1.02423,1.98702
104.304036281,0.0373959,0.366934,0.608331,1.72181,0.0390301,0.569168,0.0406151,2.58323,0.124736,0.00048238,1.04437,1.98751
104.350476190,0.000113555,0.233054,0.482252,1.81153,0.0535295,0.571792,0.0732391,2.42126,0.0354317,0.000943368,1.18085,1.58989
104.396916100,0.173761,0.501623,0.432397,1.69942,0.0980027,0.164159,0.292028,1.81487,0.0455667,0.0158411,0.981935,1.30567
104.443356009,0.213176,0.595878,0.200533,1.43861,0.304501,0.190519,0.947119,1.21459,0.0529272,0.0216386,0.672194,1.52944
104.489795918,0.351575,0.590803,0.317926,0.995058,0.239085,0.0977088,1.23362,0.637577,0.211282,0.0774701,0.697173,1.92886
104.536235828,0.271568,0.604575,0.218658,0.805004,0.651794,0,1.47145,0.793097,0.363211,0.135355,1.07976,1.21455
