TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
4.318911565,1.08921,0.628195,0.169289,1.92967,0.0119764,0.264196,0.451662,0.0400246,1.78783,0.132476,0.19365,0.377277
4.365351474,1.11508,0.540228,0.253484,1.46167,0.123011,0.395719,0.170067,0.0365,1.75171,0.291442,0.426387,0.403283
4.411791383,0.896234,0.284766,0.319331,1.21128,0.256334,0.249814,0.533752,0.264688,1.52892,0.284618,0.659225,0.295823
4.458231293,0.207441,0.182778,0.601543,1.06526,0.23734,0.0917011,0.902542,0.681881,1.58563,0.147789,0.690092,0.747784
4.504671202,0.216227,0.0844976,0.918442,0.649456,0.121231,0,0.786495,0.995888,1.28005,0.142212,0.879955,0.702868
4.551111111,0.68219,0.188837,0.874944,0.527148,0.0745373,0.117292,0.779383,1.00671,0.974714,0.121882,1.05441,0.429978
4.597551020,0.592398,0.414089,0.722627,0.653496,0.260231,0.189042,0.658554,1.03254,0.719616,0.102525,1.19129,0.639776
4.643990930,0.262535,0.387339,0.831086,0.367874,0.280044,0.0778411,0.846204,1.00964,0.745671,0.127196,1.05719,1.23584
4.690430839,0.1529,0.269904,1.11862,0.2028,0.572682,0.116461,0.949734,0.598559,0.40682,0.136386,0.727645,1.94464
4.736870748,0.120594,0.410296,0.898085,0.0367032,0.828655,0.307339,0.976001,0.719629,0.635657,0.168928,0.461665,2.07991
4.783310658,0.321136,0.448655,0.162875,0.0764728,0.960389,0.57506,0.862912,1.40254,0.331096,0.190358,0.843865,1.35813
4.829750567,0.461927,0.274076,0.0636599,0.100541,0.757489,0.706429,0.382651,1.96475,0.0744948,0.213337,0.642611,0.814733
4.876190476,0.509712,0.141158,0.356668,0.199431,0.5708,0.711398,0.621266,2.00862,0.0365702,0.651984,0.641363,0.741856
4.922630385,0.0886093,0.410058,0.926342,0.156746,0.228602,0.959661,0.940816,1.84479,0.057203,0.515543,0.656583,0.793642
4.969070295,0.150424,0.671993,1.35407,0.130189,0.0862616,0.954986,0.97099,1.92676,0.201125,0.097025,0.95942,0.764372
5.015510204,0.29716,1.08469,1.25234,0.222026,0.0519033,0.586758,1.2013,1.56781,0.326044,0.106486,1.483,0.411801
5.061950113,0.70675,0.827848,1.43961,0.464181,0.121531,0.181719,1.20103,0.950921,0.296936,0.127525,1.5306,0.0631523
5.108390023,0.638457,0.642668,0.776557,0.661331,0.361548,0.19248,1.15387,0.583267,0.0181226,0.123922,1.75494,0.112332
5.154829932,0.214644,0.691034,0.174487,0.892814,0.283104,0.261227,0.988462,1.08171,0.0277054,0.0998105,1.38331,0.164285
5.201269841,0.0257299,1.18725,0.0181817,0.497914,0.254854,0.745077,0.745142,1.65274,0.0618946,0.0896164,0.898057,0.661186
5.247709751,0,1.73384,0.0888941,0.236415,0.405125,0.683181,0.714636,1.32916,0.0780272,0.115952,0.778736,0.960544
5.294149660,0,1.74454,0.181751,0.404814,0.713344,0.360191,1.07456,0.8606,0.0325739,0.123109,0.253456,0.841464
5.340589569,0.00905765,1.53715,0.323487,0.504958,0.903082,0.272099,1.11907,0.516034,0.0321893,0.121156,0.656365,0.543793
5.387029478,0.031946,1.46176,0.360211,0.452538,0.815758,0.125142,1.54012,0.563822,0.30243,0.0887267,0.755118,0.397521
5.433469388,0.0964167,1.18808,0.497048,0.649871,0.736102,0.0912702,1.67629,0.581461,0.278956,0.18267,0.829025,0.508119
5.479909297,0.143875,0.858994,0.624655,0.892044,0.6019,0.0546008,1.84353,0.732143,0.0225271,0.161823,0.825875,0.837861
5.526349206,0.145581,0.8425,0.610508,0.677506,0.433685,0.0520079,1.66643,1.10714,0.0359325,0.176785,1.11037,1.09929
5.572789116,0.502778,0.30137,0.725604,0.830336,0.0552095,0.195388,1.22725,1.19131,0.0492124,0.195778,0.583303,1.28439
5.619229025,0.539874,0.158262,0.905327,1.13441,0.0496235,0.359403,1.24411,0.997475,0.34981,0.274589,0.311852,1.18266
5.665668934,0.516749,0.331521,0.577848,1.17538,0.102013,0.293881,1.31888,0.97026,0.414667,0.32421,0.931119,0.747271
5.712108844,0.368021,0.72893,0.278733,1.20913,0.525065,0.185692,1.2915,0.724181,0.372956,0.369003,1.69137,0.23601
5.758548753,2.23188e-05,0.76366,0.260598,0.80079,1.38171,0.19376,1.30971,0.187271,0.109828,0.368045,1.89194,0.209038
5.804988662,0.0303485,0.925653,0.236915,0.293098,1.755,0.316536,1.61755,0.0570534,0.0219502,0.402151,1.21004,0.211953
5.851428571,0.397336,1.03852,0.334315,0.272871,1.27474,0.302132,1.58846,0.112358,0.191224,0.384905,0.68032,0.129296
5.897868481,1.16868,1.14422,0.421998,0.445269,0.63452,0.458176,1.59635,0.156487,0.00974375,0.384297,0.44008,0.154525
5.944308390,1.10368,0.89639,0.413693,0.586067,0.269824,0.365846,1.67355,0.0663326,0.0308487,0.576863,0.462108,0.147611
5.990748299,0.918086,0.539475,0.550979,0.724298,0.15273,0.55001,1.73135,0.00435532,0.0349636,0.523683,0.929103,0.209391
6.037188209,0.831021,0.622723,0.526665,0.609079,0.141993,0.488045,1.75328,0,0.0489447,0.292069,1.46828,0.344854
6.083628118,0.480434,0.709879,0.342829,0.572173,0.192772,0.146321,2.19374,0.0857169,0.0598548,0.152133,1.73282,0.44831
6.130068027,0.324371,0.89486,0.297919,0.71457,0.586527,0.0957919,2.29803,0.247631,0.0716656,0.143948,1.81033,0.554373
6.176507937,0.00802554,0.69078,0.25495,0.887891,0.769115,0.25141,1.97416,0.545236,0.274896,0.148062,1.06865,1.18448
